step,loss,dt_ms,tokens_per_sec
0,10.935020446777344,361.30666732788086,22673.2599776961
1,9.525200843811035,164.15143013000488,49905.13937960874
2,8.794559478759766,160.61115264892578,51005.17532494522
3,8.601923942565918,160.83288192749023,50934.85798316587
4,8.399955749511719,160.74824333190918,50961.67665786152
5,8.366422653198242,161.20553016662598,50817.11521641068
6,8.298229217529297,161.27729415893555,50794.50298767381
7,7.980295181274414,162.4925136566162,50414.63028451616
8,7.70237922668457,161.60821914672852,50690.491134997654
9,7.657909393310547,162.71042823791504,50347.1110531506
10,7.634987831115723,161.6213321685791,50686.378401183676
11,7.468563079833984,162.92572021484375,50280.5817841255
12,7.41961669921875,162.34660148620605,50459.941415503185
13,7.215021133422852,162.39237785339355,50445.71739318743
14,7.108425140380859,162.66465187072754,50361.279514558126
15,6.935118675231934,162.55450248718262,50395.405077419724
16,6.835136413574219,162.3096466064453,50471.4302031799
17,6.834595680236816,162.31322288513184,50470.31815637986
18,6.693469047546387,162.57834434509277,50388.0146707083
19,6.5327606201171875,162.46891021728516,50421.954508367526
20,6.576357841491699,163.90180587768555,49981.14545555048
21,6.434307098388672,162.94002532958984,50276.16746363876
22,6.525082111358643,163.0561351776123,50240.366552762294
23,6.384740352630615,163.03110122680664,50248.08112289815
24,6.3677825927734375,162.23597526550293,50494.349274836255
25,6.429969787597656,162.66155242919922,50362.239125718945
26,6.624104022979736,162.96148300170898,50269.54743602873
27,6.509397029876709,162.5232696533203,50405.08979098452
28,6.752199172973633,162.23382949829102,50495.01713257835
29,6.536261081695557,162.59384155273438,50383.21206860146
30,6.529078483581543,162.9345417022705,50277.85952820981
31,6.531269550323486,162.28604316711426,50478.77094128346
32,6.390464782714844,163.24162483215332,50183.27897938468
33,6.726251602172852,161.57817840576172,50699.915550650134
34,6.579179286956787,162.43648529052734,50432.01953888696
35,6.460161209106445,162.2159481048584,50500.583300876126
36,6.520566940307617,160.9642505645752,50893.28823802125
37,6.514963626861572,161.2687110900879,50797.2063807454
38,6.281947135925293,161.45682334899902,50738.02289725767
39,6.315179347991943,161.12565994262695,50842.30533433954
40,6.585721969604492,160.51721572875977,51035.024267071465
41,6.37508487701416,160.66718101501465,50987.38863934161
42,6.398471832275391,160.64119338989258,50995.63709114872
43,6.097502708435059,160.2036952972412,51134.90038291938
44,6.054041862487793,159.99102592468262,51202.871865178655
45,6.111928939819336,160.63642501831055,50997.15085832005
46,6.229510307312012,160.47978401184082,51046.928125199636
47,6.213343143463135,160.02941131591797,51190.5901086393
48,6.072300910949707,160.53271293640137,51030.09754308111
49,5.918878555297852,160.33458709716797,51093.155558727834
