step,loss,dt_ms,tokens_per_sec
0,10.934290885925293,466.92705154418945,17544.49645379931
1,9.524834632873535,309.584379196167,26461.283418984036
2,8.794486999511719,308.60066413879395,26545.63308494899
3,8.60299301147461,310.22000312805176,26407.065686923255
4,8.399096488952637,309.04626846313477,26507.357751763957
5,8.366089820861816,309.91172790527344,26433.333308715373
6,8.299302101135254,309.00096893310547,26511.24372937956
7,7.979138374328613,311.4135265350342,26305.857973315735
8,7.702177047729492,311.04254722595215,26337.23287396128
9,7.659529685974121,311.3400936126709,26312.062493921607
10,7.634189128875732,310.51158905029297,26382.268130653112
11,7.468519687652588,311.54370307922363,26294.866238772367
12,7.420923233032227,311.07068061828613,26334.850921075322
13,7.214873313903809,312.1037483215332,26247.68220201091
14,7.109045505523682,314.2073154449463,26071.958217775355
15,6.935403347015381,312.4523162841797,26218.40061044471
16,6.835918426513672,311.5854263305664,26291.34519054484
17,6.8358330726623535,311.8929862976074,26265.419101740288
18,6.69628381729126,310.2128505706787,26407.674552906825
19,6.534984111785889,313.34376335144043,26143.810594410996
20,6.578376770019531,311.3882541656494,26307.992965084984
21,6.437987804412842,312.345027923584,26227.406450037022
22,6.522226810455322,311.4457130432129,26303.13938167248
23,6.3845014572143555,314.61119651794434,26038.48842847129
24,6.3670735359191895,312.65902519226074,26201.066785014646
25,6.430105209350586,310.9862804412842,26341.998072634244
26,6.621319770812988,312.84236907958984,26185.711430653064
27,6.506890296936035,312.2367858886719,26236.498613333984
28,6.748154640197754,311.10477447509766,26331.964894533394
29,6.533901214599609,313.18187713623047,26157.324539045967
30,6.52839469909668,311.88201904296875,26266.34271875535
31,6.532508850097656,311.3398551940918,26312.082643235768
32,6.389847755432129,313.2057189941406,26155.333390171123
33,6.724260330200195,312.8657341003418,26183.75586433724
34,6.575758934020996,312.3745918273926,26224.924223435613
35,6.454006671905518,314.18395042419434,26073.897119631987
36,6.5172038078308105,312.152624130249,26243.572428152325
37,6.505850315093994,313.2510185241699,26151.551042340565
38,6.2739362716674805,312.8018379211426,26189.10443251681
39,6.310109615325928,313.8573169708252,26101.03240244513
40,6.5938520431518555,313.0345344543457,26169.636568308906
41,6.349672317504883,312.7467632293701,26193.71633269932
42,6.370174407958984,312.7918243408203,26189.942839023617
43,6.0977277755737305,312.1495246887207,26243.8330097384
44,6.0407257080078125,315.52958488464355,25962.700147420295
45,6.098992347717285,314.9566650390625,26009.927425996804
46,6.221181392669678,312.0007514953613,26256.3470143494
47,6.1878862380981445,316.180944442749,25909.214783446027
48,6.061580657958984,314.68677520751953,26032.234734357055
49,5.919716835021973,313.74645233154297,26110.25539610988
