step,loss,dt_ms,tokens_per_sec
0,10.934290885925293,658.7300300598145,12436.050621915847
1,9.524834632873535,519.3407535552979,15773.843943344107
2,8.794487953186035,519.4907188415527,15769.290389379605
3,8.602992057800293,519.2873477935791,15775.466193827595
4,8.399096488952637,520.357608795166,15743.019534138695
5,8.366089820861816,520.5814838409424,15736.249279474892
6,8.299301147460938,521.0678577423096,15721.560787676326
7,7.979138374328613,520.4005241394043,15741.72127045271
8,7.702177047729492,519.8657512664795,15757.914384709753
9,7.659529209136963,519.707202911377,15762.72169042256
10,7.634189128875732,520.7338333129883,15731.645374146794
11,7.4685187339782715,521.141529083252,15719.338304146808
12,7.42092227935791,522.2682952880859,15685.424663737724
13,7.21487283706665,522.2764015197754,15685.181210872342
14,7.109045028686523,523.6811637878418,15643.106085287447
15,6.935403347015381,521.7447280883789,15701.164878109412
16,6.835917949676514,520.4193592071533,15741.15154455499
17,6.835832595825195,520.6935405731201,15732.862733390508
18,6.696282863616943,522.7079391479492,15672.231826732032
19,6.534981727600098,521.5954780578613,15705.657630511992
20,6.578375816345215,522.1590995788574,15688.704853764268
21,6.437985897064209,521.8899250030518,15696.796599306064
22,6.522228717803955,521.5268135070801,15707.725447349005
23,6.384499549865723,521.2187767028809,15717.008607826545
24,6.367073059082031,522.5059986114502,15678.288903419454
25,6.430104732513428,521.5070247650146,15708.321481750367
26,6.621321678161621,521.2802886962891,15715.15397309194
27,6.506892204284668,521.7397212982178,15701.31555177795
28,6.748157501220703,521.0130214691162,15723.215471468964
29,6.533901214599609,521.2173461914062,15717.051744075414
30,6.5283942222595215,522.2673416137695,15685.453305748151
31,6.532508373260498,521.3944911956787,15711.711838791853
32,6.38985013961792,521.0189819335938,15723.035597662942
33,6.724264621734619,521.735668182373,15701.437527818169
34,6.575763702392578,521.6250419616699,15704.767488141348
35,6.454012393951416,520.7474231719971,15731.234828010418
36,6.51720666885376,520.99609375,15723.72633552015
37,6.505860328674316,522.1879482269287,15687.838120001918
38,6.27394437789917,520.665168762207,15733.720040222948
39,6.310113906860352,520.6072330474854,15735.470965407803
40,6.59384822845459,520.6084251403809,15735.434934213841
41,6.349699020385742,520.9856033325195,15724.042943987934
42,6.3701982498168945,520.8859443664551,15727.051360473537
43,6.097723007202148,520.6160545349121,15735.204338479829
44,6.040734767913818,519.813060760498,15759.511675245178
45,6.0989990234375,519.5684432983398,15766.931394053307
46,6.221192836761475,520.3046798706055,15744.621020970382
47,6.187907695770264,519.7722911834717,15760.747810060442
48,6.061583518981934,519.2010402679443,15778.08857195731
49,5.919717788696289,519.1793441772461,15778.747925694206
