step,loss,dt_ms,tokens_per_sec
0,10.93425178527832,329.58364486694336,24855.60229576077
1,9.524859428405762,176.32246017456055,46460.33178013657
2,8.794401168823242,174.25823211669922,47010.69154950389
3,8.602823257446289,173.84743690490723,47121.77611500215
4,8.39918327331543,175.63676834106445,46641.714473430584
5,8.366083145141602,174.7281551361084,46884.25854218319
6,8.299177169799805,175.13513565063477,46775.30850429503
7,7.979182243347168,175.02355575561523,46805.12839905082
8,7.70221471786499,174.54934120178223,46932.28827790246
9,7.659378528594971,174.5448112487793,46933.50630929908
10,7.63410758972168,174.36909675598145,46980.80194487781
11,7.4685378074646,174.26443099975586,47009.019299018495
12,7.420912742614746,174.17025566101074,47034.43747561678
13,7.21474027633667,174.65877532958984,46902.88240336786
14,7.1088547706604,174.18527603149414,47030.381595048355
15,6.9352288246154785,174.468994140625,46953.90169669407
16,6.8357696533203125,174.74699020385742,46879.205132193274
17,6.835537910461426,174.63040351867676,46910.502609723764
18,6.695757865905762,174.69000816345215,46894.49663506223
19,6.534392356872559,174.7269630432129,46884.57841491803
20,6.577826499938965,174.70645904541016,46890.08090920505
21,6.437164306640625,174.36909675598145,46980.80194487781
22,6.522955417633057,175.5366325378418,46668.32148687817
23,6.38424015045166,175.0192642211914,46806.27607739714
24,6.36722993850708,174.85499382019043,46850.249003606514
25,6.429816722869873,175.92287063598633,46565.86133675939
26,6.622734069824219,174.66044425964355,46902.43423303152
27,6.507978439331055,175.49705505371094,46678.845964069515
28,6.7497687339782715,174.9715805053711,46819.03184699489
29,6.534524440765381,174.62396621704102,46912.231908752554
30,6.5286784172058105,175.78649520874023,46601.98720198779
31,6.532291889190674,174.64089393615723,46907.68476594443
32,6.390878200531006,174.64113235473633,46907.62072797468
33,6.725329399108887,174.67021942138672,46899.809407332585
34,6.5780348777771,174.61824417114258,46913.769170482876
35,6.456570148468018,175.0349998474121,46802.068198597015
36,6.519692420959473,175.5843162536621,46655.647695579086
37,6.510770320892334,175.76837539672852,46606.79136112942
38,6.277659893035889,175.68016052246094,46630.194187195324
39,6.312343597412109,176.38397216796875,46444.129244344476
40,6.590641498565674,175.55761337280273,46662.74417050773
41,6.362182140350342,175.64916610717773,46638.422382269666
42,6.382211208343506,176.43189430236816,46431.51416807093
43,6.095883846282959,176.7599582672119,46345.33793912744
44,6.0465898513793945,175.9624481201172,46555.38774050187
45,6.104206085205078,176.6951084136963,46362.34739911457
46,6.22622013092041,175.74238777160645,46613.683266021544
47,6.199400901794434,176.30791664123535,46464.16426478284
48,6.064097881317139,175.9939193725586,46547.06270083395
49,5.918419361114502,176.0079860687256,46543.34262310849
