step,loss,dt_ms,tokens_per_sec
0,10.934289932250977,3729.9857139587402,2196.2550605336223
1,9.524833679199219,2559.203863143921,3200.995480655583
2,10.600436210632324,2004.528284072876,4086.7470242700624
3,11.458985328674316,2072.0200538635254,3953.629688441022
4,12.632242202758789,1882.5342655181885,4351.580818501097
5,12.641036033630371,1763.7858390808105,4644.554808462021
6,12.439380645751953,2362.380027770996,3467.6893233513715
7,12.161981582641602,2399.771213531494,3413.6587495541644
8,12.032855987548828,1902.8310775756836,4305.16407711665
9,11.903664588928223,1356.1978340148926,6040.416666754566
10,11.831544876098633,1631.795883178711,5020.235731960619
11,11.754894256591797,1810.5180263519287,4524.671878857967
12,11.67490005493164,1909.118890762329,4290.984725801366
13,11.72687816619873,2317.486047744751,3534.864862712766
14,11.706672668457031,2318.1889057159424,3533.793117463828
15,11.756490707397461,2064.0671253204346,3968.8631728622872
16,11.986629486083984,1740.9088611602783,4705.588088362195
17,11.951866149902344,1772.4997997283936,4621.721255627385
18,11.986814498901367,2022.2058296203613,4051.021849510702
19,11.916976928710938,1839.9927616119385,4452.19142754852
20,11.909637451171875,1581.031322479248,5181.428023294286
21,11.882447242736816,1760.167121887207,4654.103521270607
22,11.661724090576172,1675.9729385375977,4887.907084674104
23,11.75039291381836,3027.074098587036,2706.2436310441904
24,11.690671920776367,1427.1738529205322,5740.015474103663
25,11.566344261169434,1549.2901802062988,5287.582729601486
26,11.664621353149414,1765.2149200439453,4640.794674336912
27,11.632179260253906,1831.0580253601074,4473.916111090422
28,11.498597145080566,1736.2239360809326,4718.285371926894
29,11.603282928466797,2212.613105773926,3702.4095982359327
30,11.517304420471191,2752.363920211792,2976.3505980595883
31,11.66065788269043,2586.7888927459717,3166.860667668899
32,11.56235122680664,3948.4691619873047,2074.7281196636936
33,11.444707870483398,2273.0801105499268,3603.920496237199
34,11.463949203491211,1969.322919845581,4159.805340935327
35,11.466913223266602,1945.8720684051514,4209.937607416408
36,11.563955307006836,2184.7269535064697,3749.667658400929
37,11.590030670166016,2463.6480808258057,3325.1502370639205
38,11.728776931762695,1998.0688095092773,4099.9589008208095
39,11.75244140625,1442.1651363372803,5680.348105491943
40,11.659326553344727,1764.9588584899902,4641.467964306354
41,11.622320175170898,1783.1199169158936,4594.194659756246
42,11.117669105529785,2211.390972137451,3704.4557489903773
43,11.553224563598633,2162.144184112549,3788.8315035578457
44,11.438898086547852,2333.812952041626,3510.1356314068
45,11.297367095947266,2061.5642070770264,3973.6817179295945
46,11.149980545043945,2542.8850650787354,3221.5376591337804
47,11.05863094329834,2469.0780639648438,3317.8375846267463
48,11.068617820739746,2332.1783542633057,3512.595846293115
49,11.104778289794922,4021.902084350586,2036.8472002029748
