step,loss,dt_ms,tokens_per_sec
0,10.93425178527832,469.2971706390381,17455.89045176859
1,9.524872779846191,275.1457691192627,29773.308985351523
2,8.7943754196167,274.5208740234375,29841.082318937246
3,8.602801322937012,274.1873264312744,29877.383855133583
4,8.399197578430176,275.0668525695801,29781.850933593596
5,8.366096496582031,275.4042148590088,29745.3690176595
6,8.299159049987793,276.04007720947266,29676.850125583434
7,7.979194641113281,275.8805751800537,29694.00797665252
8,7.7022223472595215,275.94923973083496,29686.61920573001
9,7.659361839294434,275.85601806640625,29696.651381475232
10,7.634099960327148,275.7372856140137,29709.43875710533
11,7.468544960021973,275.03037452697754,29785.80098321632
12,7.420929908752441,276.1058807373047,29669.77732645293
13,7.214743137359619,276.4890193939209,29628.663076592748
14,7.108853340148926,276.4408588409424,29633.824877940657
15,6.935227394104004,276.5774726867676,29619.187421231843
16,6.835756301879883,277.0886421203613,29564.546339079363
17,6.835507392883301,277.10843086242676,29562.43508905364
18,6.695702075958252,276.52812004089355,29624.47362962056
19,6.534336566925049,276.6408920288086,29612.397284877567
20,6.5777788162231445,276.63254737854004,29613.290545997046
21,6.437063694000244,276.68070793151855,29608.135895140214
22,6.523114204406738,276.7634391784668,29599.285311372034
23,6.384340286254883,276.69572830200195,29606.528623596136
24,6.367503643035889,276.6256332397461,29614.030717464826
25,6.42969274520874,276.74221992492676,29601.554841260884
26,6.623795032501221,276.5462398529053,29622.532580292245
27,6.508471488952637,276.9951820373535,29574.52162072367
28,6.7504191398620605,277.0040035247803,29573.57978859377
29,6.535142421722412,276.7951488494873,29595.894415239763
30,6.528987407684326,276.77154541015625,29598.418391818508
31,6.532370567321777,276.7345905303955,29602.370937073807
32,6.390982151031494,277.3396968841553,29537.7837793693
33,6.725611686706543,276.2601375579834,29653.210457410296
34,6.578877925872803,276.73864364624023,29601.937380570434
35,6.457635879516602,276.5476703643799,29622.379350389034
36,6.520630359649658,276.2928009033203,29649.704853752322
37,6.512868881225586,276.6392230987549,29612.575932790318
38,6.279302597045898,277.1153450012207,29561.69749446359
39,6.313157558441162,275.4180431365967,29743.875552616155
40,6.589251518249512,274.33180809020996,29861.648406830685
41,6.367196559906006,275.3875255584717,29747.17167521313
42,6.386523723602295,275.9130001068115,29690.518376548804
43,6.095569610595703,276.2031555175781,29659.328057454597
44,6.05006742477417,276.25107765197754,29654.182961488106
45,6.107161521911621,275.37083625793457,29748.974551272782
46,6.228071212768555,275.4998207092285,29735.04657429924
47,6.204714775085449,275.0568389892578,29782.93515661297
48,6.066130638122559,275.0113010406494,29787.866785842158
49,5.917516708374023,275.6474018096924,29719.126486291992
